Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3",C_Axial_L3.8mm_D2.6mm_P10.00mm_Horizontal,3,0.1uF,
C4,CP_Radial_D5.0mm_P2.50mm,1,47uF 16V,
CATR1,PCB_revB-CART-64-2.54-CONN,1,EDGE-CONN-64-PIN-PCB_BASIC_revB,
U1,DIP-14_W7.62mm,1,74HC00,
"U2, U3",DIP-42_W15.24mm,2,MX29F1615,
